망구분,할당단계,IP주소 체계,IP주소,서브넷,IP주소 범위,IP주소 시작,IP주소 종료,IP주소 숫자 시작,IP주소 숫자 종료,관리팀,장비명,연동장비명,용도,비고,IDC고객명,IDC고객ID,상태,중복체크자,할당요청부서
IP인프라망,1차,IPv4사설,100.170.0.0,17,100.170.0.0 ~ 100.170.127.255,100.170.0.0,100.170.127.255,1688862720,1688895487,K기술팀,,,광대역데이터망 백본 링크용 IP,S국사 B,,,미사용,,
IP인프라망,2차,IPv4사설,100.170.0.0,24,100.170.0.0 ~ 100.170.0.255,100.170.0.0,100.170.0.255,1688862720,1688862975,DS인프라팀,S_MX960_B1,,(인터링크) 백본1_백본2,S국사 B,,,미사용,,
IP인프라망,2차,IPv4사설,100.170.1.0,24,100.170.1.0 ~ 100.170.1.255,100.170.1.0,100.170.1.255,1688862976,1688863231,DS인프라팀,S_MX960_B1,,(업링크) 백본1_상위 장비1,S국사 B,,,미사용,,
IP인프라망,2차,IPv4사설,100.170.2.0,24,100.170.2.0 ~ 100.170.2.255,100.170.2.0,100.170.2.255,1688863232,1688863487,DS인프라팀,S_MX960_B1,,(업링크) 백본1_상위 장비2,S국사 B,,,미사용,,
IP인프라망,2차,IPv4사설,100.170.3.0,24,100.170.3.0 ~ 100.170.3.255,100.170.3.0,100.170.3.255,1688863488,1688863743,DS인프라팀,S_MX960_B1,,(다운링크) 백본1_하위 장비,S국사 B,,,미사용,,
IP인프라망,2차,IPv4사설,100.170.4.0,24,100.170.4.0 ~ 100.170.4.255,100.170.4.0,100.170.4.255,1688863744,1688863999,DS인프라팀,S_MX960_B1,,RESERVE,S국사 B,,,미사용,,
IP인프라망,2차,IPv4사설,100.170.5.0,24,100.170.5.0 ~ 100.170.5.255,100.170.5.0,100.170.5.255,1688864000,1688864255,DS인프라팀,S_MX960_B1,,(다운링크) 백본1_하위 장비,S국사 B,,,미사용,,
IP인프라망,2차,IPv4사설,100.170.6.0,24,100.170.6.0 ~ 100.170.6.255,100.170.6.0,100.170.6.255,1688864256,1688864511,DS인프라팀,S_MX960_B1,,RESERVE,S국사 B,,,미사용,,
IP인프라망,2차,IPv4사설,100.170.7.0,24,100.170.7.0 ~ 100.170.7.255,100.170.7.0,100.170.7.255,1688864512,1688864767,DS인프라팀,S_MX960_B1,,(국사이원화 인터링크) 백본1_타국사 백본1,S국사 B,,,미사용,,
IP인프라망,2차,IPv4사설,100.170.8.0,24,100.170.8.0 ~ 100.170.8.255,100.170.8.0,100.170.8.255,1688864768,1688865023,DS인프라팀,S_MX960_B2,,RESERVE,S국사 B,,,미사용,,
